student_ID,login_stu,password_stu
685,mreiach0@aboutads.info,pOl0QOe
917,itakle1@liveinternet.ru,3ftcBd086qqz
792,cgadie2@squarespace.com,l1FlLTds1b
496,afluger3@telegraph.co.uk,aCXgojd
339,rgraalmans4@slideshare.net,EY94tSxbkren
736,gfronek5@devhub.com,XkWEHP
268,scrossthwaite6@bbc.co.uk,zfABIrd2tNC
392,hmazonowicz7@virginia.edu,mtFfZygEx
420,tconnal8@wufoo.com,rwVxf1gKUO
577,sbellenie9@foxnews.com,iCKxNr61
255,fbaigriea@blogs.com,82MmM5VASVS
168,btreendb@hatena.ne.jp,2QXa1wBPQK
126,cettlesc@latimes.com,xUEr7tbD8
949,msnaped@mayoclinic.com,YkEXoc6T
51,sfroudee@soup.io,9eSXPn84NoVT
412,mcurdsf@mac.com,SQONeF
620,ihouching@hatena.ne.jp,YDc4IR4MqD
36,ftubbleh@devhub.com,XOpFXJ
613,tmccloudi@army.mil,cI074DjTHzT
191,rjachimakj@live.com,w3DidyM
927,amannionk@printfriendly.com,kRe2sCSq
774,cbarefordl@macromedia.com,mIhIJrUTUkS
194,hsherrumm@devhub.com,3JgeUgMa6
494,mheinsenn@adobe.com,nZVRsBuhFl
228,emargacho@yandex.ru,8v6EeHy
816,csmeuinp@blogtalkradio.com,pDazeRI2i
277,enormansellq@mail.ru,UojBAWfKN3s
499,rarnleyr@infoseek.co.jp,pPrar8
473,ccutajars@taobao.com,AWAWoc6MKW7
344,hscaddont@theglobeandmail.com,B6SSrloXm
410,pshalesu@microsoft.com,tzWxskFR
46,vmuspratv@drupal.org,zLoZaopkCa
537,ethackhamw@odnoklassniki.ru,sq3MfKIH6s
541,rsivierx@google.ca,lmLjLaW
964,ngullbergy@examiner.com,XLE5o9FJdWZh
967,ciskowiczz@exblog.jp,GJK9263QvVuW
931,htenman10@ucsd.edu,aJkDZkYkuhxj
835,dborsay11@e-recht24.de,OuydV8EmMuv
905,pflay12@addthis.com,IYegh3
151,sduester13@paginegialle.it,NJQihnXVJGP
684,cmillion14@trellian.com,mrv3qHyP6NkA
467,bimorts15@sohu.com,SAKduX
733,tborrett16@answers.com,PvRYfjy
2,ahirche17@elegantthemes.com,ZkJcgq
420,gtorel18@usa.gov,UX6JmpFJc
158,gdron19@dagondesign.com,TivS7oUVazbf
885,aqualtro1a@goodreads.com,x5LNu9
918,ibeville1b@cnet.com,6mLX7dRCDaab
350,aoldroyde1c@cpanel.net,4OKcAe
755,mcouthard1d@xinhuanet.com,8hE7SOrpdpx
224,hcordon1e@usatoday.com,MNid6MVv3
637,jlouder1f@sina.com.cn,rmHj4hDc9tC
64,tbellsham1g@ihg.com,J3ZYOfxHOL
958,rshippam1h@princeton.edu,DeydKpOT
183,sarmfirld1i@army.mil,p1mpFq3V
367,mbaiss1j@biglobe.ne.jp,UeHEZv1
375,dmunden1k@drupal.org,NUrryZ3
489,dphant1l@sfgate.com,3V5zvPBekdIZ
820,jgierok1m@nationalgeographic.com,QxfFFjs
435,emaine1n@example.com,mbA5s6H2
112,cpepin1o@google.es,LZP5AH66l
105,jzellick1p@java.com,wGU3kw
970,hlarret1q@mapquest.com,YO1QT4
750,lstoffel1r@tmall.com,tMvXEeL
259,amacquire1s@wp.com,C2GMPbarxrr
594,wrichel1t@g.co,kNlItYl1XfE
567,sbrosio1u@discovery.com,ekvmtj
455,mluckman1v@foxnews.com,SNZVu0k6pOab
405,bcoarser1w@infoseek.co.jp,61GPht
915,lkinnerk1x@alexa.com,Q1ehG9Gh0N5
430,ehayles1y@smh.com.au,dKK9xDD
267,kstailey1z@baidu.com,CzLeSUK1YU
563,kbezants20@squarespace.com,hWXBUiPG
779,cmakey21@abc.net.au,AAygXXlocr
512,lripper22@baidu.com,YCIVb3ndUUdl
230,mdeath23@bbb.org,bc0gsl
723,ntapley24@prweb.com,RExQMX
443,apaley25@zdnet.com,rPLvw4fG
989,hsynder26@joomla.org,vRhV3rNLQ1
773,aconahy27@joomla.org,lwpoJ5WSg
780,mdonhardt28@europa.eu,3UCCRcg
283,eratke29@liveinternet.ru,Z8t4jW6t
968,akitchingman2a@phpbb.com,ki86zSOO
381,lrawlin2b@hp.com,IfrY9Y3KV6Or
418,yoflynn2c@odnoklassniki.ru,0Y3Eqo8B
225,dfoffano2d@wix.com,6tClTHx
516,trobbe2e@cnet.com,uxkzF6b9
125,cslad2f@xinhuanet.com,u0G2hH9tsG7i
721,vmcterlagh2g@acquirethisname.com,MyBVOoZ7gH2N
718,wangeau2h@youtu.be,ouEfDpY
51,mperott2i@google.cn,fZVPtGJ
188,ydyneley2j@plala.or.jp,am1GFki2U
419,emarrion2k@so-net.ne.jp,OyQDHBVYlUUH
589,mdamato2l@theatlantic.com,AErXOX2WfFB
307,mlyptrade2m@army.mil,fSdOOyX0
882,jpeaden2n@dedecms.com,vIPK4elF
486,bboig2o@uiuc.edu,J2X2vvmJ41FM
149,mkelso2p@slideshare.net,GlpUEoyas
828,asurr2q@salon.com,dRrwZG8LS65
138,rjewitt2r@goo.gl,j8KMnat9Nnd
